Feature,Type
X, symbolic.
duration, continuous.
land, symbolic.
wrong_fragment, continuous.
urgent, continuous.
hot, continuous.
num_failed_logins, continuous.
logged_in, symbolic.
num_compromised, continuous.
root_shell, symbolic.
su_attempted, symbolic.
num_root, continuous.
num_file_creations, continuous.
num_shells, continuous.
num_access_files, continuous.
num_outbound_cmds, continuous.
is_host_login, symbolic.
is_guest_login, symbolic.
rerror_rate, continuous.
srv_rerror_rate, continuous.
diff_srv_rate, continuous.
srv_diff_host_rate, continuous.
dst_host_count, continuous.
dst_host_srv_diff_host_rate, continuous.
dst_host_rerror_rate, continuous.
dst_host_srv_rerror_rate, continuous.
serror_rate, continuous.
Target, symbolic.
